train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 85.8M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.4M
train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 86.5M
epoch 52, train 2.3073|0.3724, val 4.0410|0.3052, 2.5m 2.6h/5.0h
epoch 53, train 2.2952|0.3742, val 4.0166|0.3006, 2.5m 2.7h/5.0h
epoch 54, train 2.2871|0.3786, val 3.9618|0.3108, 2.5m 2.7h/5.0h
epoch 55, train 2.2997|0.3731, val 3.9857|0.3071, fs 1: 0.3725 5: 0.4863, 4.9m 2.8h/5.1h
epoch 56, train 2.3011|0.3756, val 4.0027|0.3041, 2.5m 2.8h/5.0h
epoch 57, train 2.2899|0.3738, val 3.9059|0.3156, 2.5m 2.9h/5.0h
epoch 58, train 2.2853|0.3753, val 3.8688|0.3130, 2.5m 2.9h/5.0h
epoch 59, train 2.2752|0.3776, val 3.9646|0.3138, 2.5m 3.0h/5.0h
epoch 60, train 2.2696|0.3801, val 3.9938|0.3115, fs 1: 0.3703 5: 0.4892, 4.9m 3.0h/5.1h
epoch 61, train 2.0693|0.4291, val 3.7943|0.3577, 2.5m 3.1h/5.0h
epoch 62, train 2.0200|0.4409, val 3.7853|0.3618, 2.5m 3.1h/5.0h
epoch 63, train 1.9956|0.4459, val 3.8167|0.3612, 2.5m 3.2h/5.0h
epoch 64, train 1.9896|0.4487, val 3.8085|0.3648, 2.5m 3.2h/5.0h
epoch 65, train 1.9684|0.4512, val 3.7882|0.3670, fs 1: 0.3738 5: 0.4903, 4.9m 3.3h/5.1h
epoch 66, train 1.9669|0.4529, val 3.7765|0.3693, 2.5m 3.3h/5.0h
epoch 67, train 1.9583|0.4548, val 3.8007|0.3704, 2.5m 3.4h/5.0h
epoch 68, train 1.9613|0.4577, val 3.8090|0.3706, 2.5m 3.4h/5.0h
epoch 69, train 1.9532|0.4547, val 3.7760|0.3707, 2.5m 3.5h/5.0h
epoch 70, train 1.9416|0.4587, val 3.7939|0.3743, fs 1: 0.3730 5: 0.4901, 4.9m 3.5h/5.1h
epoch 71, train 1.9478|0.4601, val 3.7894|0.3755, 2.5m 3.6h/5.0h
epoch 72, train 1.9471|0.4622, val 3.8175|0.3699, 2.5m 3.6h/5.0h
epoch 73, train 1.9297|0.4653, val 3.8074|0.3762, 2.5m 3.7h/5.0h
epoch 74, train 1.9299|0.4644, val 3.8139|0.3757, 2.5m 3.7h/5.0h
epoch 75, train 1.9326|0.4641, val 3.7769|0.3825, fs 1: 0.3728 5: 0.4890, 4.9m 3.8h/5.1h
epoch 76, train 1.9131|0.4691, val 3.7786|0.3775, 2.5m 3.8h/5.0h
epoch 77, train 1.9239|0.4643, val 3.8058|0.3763, 2.5m 3.9h/5.0h
epoch 78, train 1.9191|0.4685, val 3.7917|0.3773, 2.5m 3.9h/5.0h
epoch 79, train 1.9147|0.4650, val 3.7993|0.3800, 2.5m 4.0h/5.0h
epoch 80, train 1.9174|0.4665, val 3.7980|0.3789, fs 1: 0.3721 5: 0.4913, 4.9m 4.0h/5.1h
epoch 81, train 1.8674|0.4787, val 3.7723|0.3862, 2.5m 4.1h/5.0h
epoch 82, train 1.8618|0.4823, val 3.7652|0.3862, 2.5m 4.1h/5.0h
epoch 83, train 1.8579|0.4848, val 3.7617|0.3861, 2.5m 4.2h/5.0h
epoch 84, train 1.8591|0.4779, val 3.7576|0.3881, 2.5m 4.2h/5.0h
epoch 85, train 1.8531|0.4825, val 3.7575|0.3880, fs 1: 0.3710 5: 0.4910, 4.9m 4.3h/5.1h
epoch 86, train 1.8665|0.4789, val 3.7713|0.3869, 2.5m 4.3h/5.0h
epoch 87, train 1.8532|0.4822, val 3.7559|0.3879, 2.5m 4.4h/5.0h
epoch 88, train 1.8585|0.4798, val 3.7575|0.3885, 2.5m 4.4h/5.0h
epoch 89, train 1.8545|0.4815, val 3.7678|0.3881, 2.5m 4.5h/5.0h
epoch 90, train 1.8456|0.4848, val 3.7456|0.3892, fs 1: 0.3725 5: 0.4904, 4.9m 4.5h/5.1h
epoch 91, train 1.8468|0.4843, val 3.7445|0.3891, 2.5m 4.6h/5.0h
epoch 92, train 1.8434|0.4872, val 3.7616|0.3894, 2.5m 4.6h/5.0h
epoch 93, train 1.8557|0.4829, val 3.7587|0.3898, 2.5m 4.7h/5.0h
epoch 94, train 1.8469|0.4844, val 3.7480|0.3893, 2.5m 4.7h/5.0h
epoch 95, train 1.8492|0.4860, val 3.7597|0.3892, fs 1: 0.3718 5: 0.4913, 4.9m 4.8h/5.0h
epoch 96, train 1.8506|0.4805, val 3.7559|0.3902, 2.5m 4.8h/5.0h
epoch 97, train 1.8430|0.4833, val 3.7655|0.3876, 2.5m 4.9h/5.0h
epoch 98, train 1.8484|0.4847, val 3.7475|0.3890, 2.5m 4.9h/5.0h
epoch 99, train 1.8494|0.4874, val 3.7538|0.3893, 2.5m 5.0h/5.0h
epoch 100, train 1.8472|0.4820, val 3.7396|0.3898, fs 1: 0.3725 5: 0.4904, 4.9m 5.0h/5.0h
