train dataset: torch.Size([3, 224, 224]) (x36000), 60
val dataset: torch.Size([3, 224, 224]) (x48000), 80
fs dataset: torch.Size([3, 224, 224]) (x12000), 20
num params: 58.3M
epoch 1, train 4.5274|0.0186, val 4.9545|0.0151, 3.2m 3.2m/5.3h
epoch 2, train 3.8835|0.0436, val 4.8691|0.0445, 2.8m 6.0m/5.0h
epoch 3, train 3.6892|0.0746, val 4.7664|0.0766, 2.8m 8.9m/4.9h
epoch 4, train 3.5398|0.0966, val 4.7677|0.0906, 2.9m 11.8m/4.9h
epoch 5, train 3.3643|0.1340, val 4.6109|0.1217, fs 1: 0.3325 5: 0.4250, 4.9m 16.7m/5.6h
epoch 6, train 3.1855|0.1717, val 4.6406|0.1487, 2.8m 19.6m/5.4h
epoch 7, train 2.9884|0.2140, val 4.4639|0.2074, 2.8m 22.4m/5.3h
epoch 8, train 2.8150|0.2467, val 4.4425|0.2190, 2.8m 25.3m/5.3h
epoch 9, train 2.6569|0.2862, val 4.3369|0.2632, 2.8m 28.1m/5.2h
epoch 10, train 2.5264|0.3166, val 4.0005|0.2908, fs 1: 0.3537 5: 0.4608, 4.9m 33.0m/5.5h
epoch 11, train 2.4107|0.3441, val 4.2623|0.2840, 2.8m 35.9m/5.4h
epoch 12, train 2.3150|0.3638, val 6.3856|0.2544, 2.8m 38.7m/5.4h
epoch 13, train 2.2583|0.3779, val 4.5397|0.3319, 2.8m 41.6m/5.3h
epoch 14, train 2.1653|0.4033, val 4.6396|0.3464, 2.8m 44.4m/5.3h
epoch 15, train 2.1005|0.4181, val 4.0432|0.3724, fs 1: 0.3690 5: 0.4914, 4.9m 49.3m/5.5h
epoch 16, train 2.0337|0.4357, val 3.9892|0.3627, 2.8m 52.2m/5.4h
epoch 17, train 2.0085|0.4396, val 3.9817|0.3643, 2.8m 55.0m/5.4h
epoch 18, train 1.9704|0.4498, val 4.5255|0.3632, 2.8m 57.9m/5.4h
epoch 19, train 1.9241|0.4656, val 3.8729|0.3840, 2.8m 1.0h/5.3h
epoch 20, train 1.8812|0.4723, val 3.9107|0.3852, fs 1: 0.3679 5: 0.4882, 4.8m 1.1h/5.5h
epoch 21, train 1.8639|0.4771, val 3.9809|0.4044, 2.8m 1.1h/5.4h
epoch 22, train 1.8330|0.4868, val 4.0725|0.4021, 2.8m 1.2h/5.4h
epoch 23, train 1.7977|0.4960, val 6.7742|0.3732, 2.8m 1.2h/5.4h
epoch 24, train 1.7773|0.5000, val 4.3752|0.3918, 2.8m 1.3h/5.3h
epoch 25, train 1.7730|0.5024, val 3.8743|0.4263, fs 1: 0.3566 5: 0.5015, 4.8m 1.4h/5.4h
epoch 26, train 1.7366|0.5134, val 4.0259|0.4079, 2.8m 1.4h/5.4h
epoch 27, train 1.7186|0.5139, val 3.7283|0.4359, 2.8m 1.5h/5.4h
epoch 28, train 1.7145|0.5166, val 3.7466|0.4474, 2.8m 1.5h/5.4h
epoch 29, train 1.7015|0.5206, val 3.9137|0.4426, 2.8m 1.6h/5.3h
epoch 30, train 1.6961|0.5241, val 3.7460|0.4556, fs 1: 0.3795 5: 0.5179, 4.8m 1.6h/5.4h
epoch 31, train 1.6684|0.5309, val 3.7082|0.4664, 2.8m 1.7h/5.4h
epoch 32, train 1.6628|0.5328, val 3.7695|0.4349, 2.8m 1.7h/5.4h
epoch 33, train 1.6375|0.5369, val 3.5489|0.4730, 2.8m 1.8h/5.4h
epoch 34, train 1.6291|0.5406, val 3.5189|0.4644, 2.8m 1.8h/5.4h
epoch 35, train 1.6191|0.5426, val 3.5095|0.4870, fs 1: 0.3783 5: 0.5168, 4.9m 1.9h/5.4h
epoch 36, train 1.6220|0.5418, val 3.7496|0.4604, 2.8m 2.0h/5.4h
epoch 37, train 1.6177|0.5440, val 3.9244|0.4332, 2.8m 2.0h/5.4h
epoch 38, train 1.6054|0.5460, val 3.5342|0.4633, 2.8m 2.0h/5.4h
epoch 39, train 1.5959|0.5506, val 3.9818|0.4725, 2.8m 2.1h/5.4h
epoch 40, train 1.5962|0.5462, val 3.7486|0.4526, fs 1: 0.3641 5: 0.5053, 4.9m 2.2h/5.4h
epoch 41, train 1.5852|0.5522, val 3.7945|0.4516, 2.8m 2.2h/5.4h
epoch 42, train 1.5887|0.5504, val 3.8901|0.4615, 2.8m 2.3h/5.4h
epoch 43, train 1.5506|0.5624, val 3.6093|0.4872, 2.8m 2.3h/5.4h
epoch 44, train 1.5697|0.5547, val 3.6906|0.4714, 2.8m 2.4h/5.4h
epoch 45, train 1.5445|0.5603, val 3.8137|0.4748, fs 1: 0.3915 5: 0.5285, 4.8m 2.4h/5.4h
epoch 46, train 1.5676|0.5579, val 3.6451|0.4776, 2.8m 2.5h/5.4h
epoch 47, train 1.5352|0.5649, val 3.9786|0.4772, 2.8m 2.5h/5.4h
epoch 48, train 1.5466|0.5627, val 3.6001|0.4994, 2.8m 2.6h/5.4h
epoch 49, train 1.5399|0.5626, val 3.6134|0.4772, 2.8m 2.6h/5.4h
epoch 50, train 1.5332|0.5676, val 3.7176|0.4829, fs 1: 0.3858 5: 0.5330, 4.8m 2.7h/5.4h
epoch 51, train 1.5340|0.5662, val 3.6999|0.4839, 2.8m 2.8h/5.4h
epoch 52, train 1.5275|0.5644, val 3.7524|0.4723, 2.8m 2.8h/5.4h
epoch 53, train 1.5205|0.5697, val 3.6374|0.4889, 2.8m 2.9h/5.4h
epoch 54, train 1.5049|0.5714, val 3.7801|0.4727, 2.8m 2.9h/5.4h
epoch 55, train 1.5239|0.5695, val 3.6870|0.4784, fs 1: 0.3782 5: 0.5205, 4.8m 3.0h/5.4h
epoch 56, train 1.5052|0.5708, val 3.7321|0.4825, 2.8m 3.0h/5.4h
epoch 57, train 1.5018|0.5716, val 3.7410|0.4770, 2.8m 3.1h/5.4h
epoch 58, train 1.5036|0.5724, val 3.7786|0.4955, 2.8m 3.1h/5.4h
epoch 59, train 1.4829|0.5772, val 4.0642|0.4781, 2.8m 3.2h/5.4h
epoch 60, train 1.4935|0.5736, val 3.7199|0.4515, fs 1: 0.3624 5: 0.5025, 4.9m 3.3h/5.4h
epoch 61, train 1.1639|0.6655, val 3.3563|0.6142, 2.8m 3.3h/5.4h
epoch 62, train 1.0530|0.6989, val 3.3547|0.6245, 2.8m 3.3h/5.4h
epoch 63, train 1.0001|0.7148, val 3.4844|0.6297, 2.8m 3.4h/5.4h
epoch 64, train 0.9647|0.7187, val 3.4885|0.6332, 2.8m 3.4h/5.4h
epoch 65, train 0.9416|0.7283, val 3.5249|0.6405, fs 1: 0.4135 5: 0.5766, 4.8m 3.5h/5.4h
epoch 66, train 0.9268|0.7311, val 3.4715|0.6422, 2.9m 3.6h/5.4h
epoch 67, train 0.9101|0.7366, val 3.4287|0.6507, 2.8m 3.6h/5.4h
epoch 68, train 0.8910|0.7414, val 3.4549|0.6526, 2.8m 3.7h/5.4h
epoch 69, train 0.8873|0.7449, val 3.5863|0.6511, 2.8m 3.7h/5.4h
epoch 70, train 0.8622|0.7493, val 3.5559|0.6529, fs 1: 0.4127 5: 0.5761, 4.8m 3.8h/5.4h
epoch 71, train 0.8623|0.7485, val 3.4993|0.6596, 2.8m 3.8h/5.4h
epoch 72, train 0.8531|0.7539, val 3.6038|0.6635, 2.8m 3.9h/5.4h
epoch 73, train 0.8442|0.7525, val 3.6245|0.6658, 2.8m 3.9h/5.4h
epoch 74, train 0.8267|0.7556, val 3.4756|0.6622, 2.8m 4.0h/5.4h
epoch 75, train 0.8319|0.7605, val 3.5683|0.6672, fs 1: 0.4141 5: 0.5831, 4.8m 4.1h/5.4h
epoch 76, train 0.8223|0.7594, val 3.6098|0.6734, 2.8m 4.1h/5.4h
epoch 77, train 0.8064|0.7655, val 3.4780|0.6741, 2.8m 4.2h/5.4h
epoch 78, train 0.7955|0.7676, val 3.5251|0.6710, 2.8m 4.2h/5.4h
epoch 79, train 0.7956|0.7663, val 3.6336|0.6779, 2.8m 4.3h/5.4h
epoch 80, train 0.7867|0.7692, val 3.6565|0.6751, fs 1: 0.4002 5: 0.5608, 4.9m 4.3h/5.4h
epoch 81, train 0.7090|0.7942, val 3.5839|0.6957, 2.8m 4.4h/5.4h
epoch 82, train 0.6902|0.8025, val 3.5123|0.6994, 5.1m 4.5h/5.4h
epoch 83, train 0.6753|0.8066, val 3.5273|0.7007, 4.4m 4.5h/5.5h
epoch 84, train 0.6567|0.8117, val 3.5575|0.7032, 4.7m 4.6h/5.5h
epoch 85, train 0.6548|0.8125, val 3.5074|0.7028, fs 1: 0.4123 5: 0.5783, 9.3m 4.8h/5.6h
epoch 86, train 0.6539|0.8101, val 3.5361|0.7043, 5.3m 4.9h/5.7h
epoch 87, train 0.6414|0.8163, val 3.4631|0.7057, 5.3m 5.0h/5.7h
epoch 88, train 0.6369|0.8170, val 3.5321|0.7074, 5.3m 5.0h/5.7h
epoch 89, train 0.6302|0.8180, val 3.5208|0.7076, 5.2m 5.1h/5.8h
epoch 90, train 0.6343|0.8186, val 3.5882|0.7082, fs 1: 0.4126 5: 0.5807, 9.3m 5.3h/5.9h
epoch 91, train 0.6265|0.8191, val 3.5136|0.7093, 5.3m 5.4h/5.9h
epoch 92, train 0.6148|0.8249, val 3.4964|0.7091, 5.1m 5.5h/5.9h
epoch 93, train 0.6081|0.8241, val 3.4872|0.7102, 5.2m 5.5h/6.0h
epoch 94, train 0.6135|0.8265, val 3.5355|0.7115, 5.2m 5.6h/6.0h
epoch 95, train 0.6138|0.8245, val 3.5547|0.7127, fs 1: 0.4102 5: 0.5751, 9.3m 5.8h/6.1h
epoch 96, train 0.6071|0.8262, val 3.5533|0.7126, 5.2m 5.9h/6.1h
epoch 97, train 0.5987|0.8290, val 3.4772|0.7124, 5.2m 6.0h/6.2h
epoch 98, train 0.6017|0.8289, val 3.4759|0.7123, 5.2m 6.1h/6.2h
epoch 99, train 0.6101|0.8261, val 3.5739|0.7146, 5.2m 6.1h/6.2h
epoch 100, train 0.5991|0.8290, val 3.5358|0.7149, fs 1: 0.4096 5: 0.5748, 9.5m 6.3h/6.3h
